Date,Close,Volume
2022-12-27,55.810001,91514400
2022-12-28,58.07,105113800
2022-12-29,53.860001,82796600
2022-12-30,54.009998,85882000
2023-01-03,55.150002,85686700
2023-01-04,54.41,117810800
2023-01-05,56.93,101329800
2023-01-06,52.400002,127988100
2023-01-09,51.279999,103641900
2023-01-10,50.029999,97051800
2023-01-11,47.459999,86712600
2023-01-12,46.740002,160898100
2023-01-13,45.810001,99362100
2023-01-17,45.619999,84619500
2023-01-18,47.34,122786600
2023-01-19,48.82,112122600
2023-01-20,44.790001,108542400
2023-01-23,41.84,120536200
2023-01-24,42.130001,95815200
2023-01-25,42.419998,136037700
2023-01-26,39.990002,122488500
2023-01-27,38.849998,126202300
2023-01-30,41.200001,120176600
2023-01-31,39.360001,99105900
2023-02-01,36.84,193695800
2023-02-02,33.009998,216341700
2023-02-03,34.669998,212508000
2023-02-06,35.580002,127530300
2023-02-07,33.380001,194985900
2023-02-08,35.16,144684500
2023-02-09,36.130001,154771500
2023-02-10,36.869999,159423400
2023-02-13,35.099998,108770300
2023-02-14,34.360001,206435900
2023-02-15,33.580002,121267700
2023-02-16,35.5,159103600
2023-02-17,36.290001,150171800
2023-02-21,38.869999,125526500
2023-02-22,38.84,141230800
2023-02-23,37.849998,135550700
2023-02-24,39.790001,155501800
2023-02-27,38.93,111308100
2023-02-28,39.130001,109085300
2023-03-01,40.07,135461100
2023-03-02,39.130001,125854500
2023-03-03,36.73,110212000
2023-03-06,36.599998,116894800
2023-03-07,37.959999,158288800
2023-03-08,37.41,132612800
2023-03-09,39.450001,162918200
2023-03-10,41.080002,271059600
2023-03-13,40.189999,252210300
2023-03-14,37.459999,175521500
2023-03-15,36.93,217763300
2023-03-16,34.02,173941800
2023-03-17,34.490002,165131700
2023-03-20,34.169998,116397500
2023-03-21,32.740002,105263800
2023-03-22,33.860001,179685100
2023-03-23,32.689999,189868000
2023-03-24,32.34,148393000
2023-03-27,33.009998,109630600
2023-03-28,33.549999,110031400
2023-03-29,31.76,120130400
2023-03-30,30.879999,115341700
2023-03-31,29.360001,139825300
2023-04-03,29.559999,111048100
2023-04-04,29.870001,112455500
2023-04-05,30.84,118595400
2023-04-06,30.209999,115603800
2023-04-10,30.290001,87939200
2023-04-11,30.879999,88190700
2023-04-12,31.690001,145613800
2023-04-13,29.9,123564400
2023-04-14,30.07,141603500
2023-04-17,30.030001,96704900
2023-04-18,30.02,91441100
2023-04-19,30.07,101929300
2023-04-20,30.809999,141682000
2023-04-21,30.73,116245300
2023-04-24,30.93,108891300
2023-04-25,32.689999,131087200
2023-04-26,32.150002,131519900
2023-04-27,29.559999,141981500
2023-04-28,28.959999,138313000
2023-05-01,29.049999,90197700
2023-05-02,29.809999,137558700
2023-05-03,30.42,152635300
2023-05-04,30.780001,139372100
2023-05-05,28.84,111473900
2023-05-08,28.639999,76305500
2023-05-09,29.200001,71202900
2023-05-10,28.27,138867600
2023-05-11,28.040001,109886700
2023-05-12,28.34,101330400
2023-05-15,27.9,86746500
2023-05-16,27.809999,99723500
2023-05-17,26.809999,112424400
2023-05-18,25.379999,146357900
2023-05-19,25.559999,115433600
2023-05-22,25.299999,79910700
2023-05-23,26.27,111438900
2023-05-24,26.67,130940900
2023-05-25,24.799999,148978800
2023-05-26,22.91,164323500
2023-05-30,22.59,138132800
2023-05-31,23.059999,128934200
2023-06-01,22.219999,117700000
2023-06-02,21.74,118235100
2023-06-05,21.700001,124014000
2023-06-06,21.719999,93403300
2023-06-07,22.84,140847400
2023-06-08,22.049999,106802000
2023-06-09,21.790001,118157900
2023-06-12,20.690001,104070400
2023-06-13,20.219999,141333900
2023-06-14,19.780001,164829700
2023-06-15,19.129999,167106400
2023-06-16,19.49,127019300
2023-06-20,19.57,111336300
2023-06-21,20.09,125058700
2023-06-22,19.42,118944600
2023-06-23,20.02,125436100
2023-06-26,20.809999,109697100
2023-06-27,19.780001,118443400
2023-06-28,19.65,132252200
2023-06-29,19.799999,113976700
2023-06-30,18.91,120521700
2023-07-03,18.790001,42406900
2023-07-05,18.790001,87650700
2023-07-06,19.24,104884200
2023-07-07,19.450001,97080000
2023-07-10,19.43,96273900
2023-07-11,19.16,88670600
2023-07-12,18.440001,132918600
2023-07-13,17.540001,115897400
2023-07-14,17.549999,120514100
2023-07-17,17.08,85791400
2023-07-18,16.66,118984000
2023-07-19,16.66,119871100
2023-07-20,17.85,147420800
2023-07-21,18.030001,132395600
2023-07-24,17.940001,83615700
2023-07-25,17.58,83716600
2023-07-26,17.76,122138500
2023-07-27,17.93,165865400
2023-07-28,16.959999,156253500
2023-07-31,16.91,86194600
2023-08-01,17.059999,106172200
2023-08-02,18.18,175746300
2023-08-03,18.32,140034700
2023-08-04,18.57,160401300
2023-08-07,18.110001,108149600
2023-08-08,18.59,119850100
